chunk,rows_processed,n_blacklisted,n_skipped,max_block,processed_after,ram_usage_gb
325000,3250000000,76421039,21254353,14351967,0 days 06:39:48.249053,34.68
326000,3260000000,76588946,21293241,14365173,0 days 06:41:13.463818,34.71
327000,3270000000,76754503,21330258,14378616,0 days 06:42:39.030200,34.75
328000,3280000000,76924943,21371515,14392020,0 days 06:44:05.243249,34.78
329000,3290000000,77099904,21415849,14404914,0 days 06:45:32.032629,34.81
330000,3300000000,77282788,21459561,14417695,0 days 06:46:58.394091,34.86
331000,3310000000,77442616,21495392,14430580,0 days 06:48:23.922681,34.88
332000,3320000000,77613134,21536749,14443693,0 days 06:49:51.750761,34.92
333000,3330000000,77792377,21579972,14456961,0 days 06:51:16.854022,34.96
334000,3340000000,77956681,21618604,14470098,0 days 06:52:44.001268,34.99
335000,3350000000,78144029,21662531,14482447,0 days 06:54:08.083827,35.09
336000,3360000000,78331222,21707452,14495270,0 days 06:55:31.801063,35.06
337000,3370000000,78514505,21755707,14507992,0 days 06:56:57.089938,35.1
338000,3380000000,78661858,21799446,14519952,0 days 06:58:22.406833,35.13
339000,3390000000,78818315,21847052,14532095,0 days 06:59:47.437989,35.16
340000,3400000000,78977997,21894809,14545230,0 days 07:01:14.235326,35.19
341000,3410000000,79131001,21937169,14558074,0 days 07:02:41.104653,35.23
342000,3420000000,79290226,21976633,14570764,0 days 07:04:05.049276,35.26
343000,3430000000,79433551,22015187,14583617,0 days 07:05:29.613978,35.28
344000,3440000000,79585181,22052364,14597069,0 days 07:06:57.104912,35.32
345000,3450000000,79720355,22091125,14609577,0 days 07:08:21.271099,35.34
346000,3460000000,79888494,22137365,14623049,0 days 07:09:51.516029,35.37
347000,3470000000,80065966,22190191,14636701,0 days 07:11:17.808178,35.41
348000,3480000000,80218495,22234278,14649797,0 days 07:12:45.977117,35.44
349000,3490000000,80399497,22285628,14662957,0 days 07:14:12.056134,35.48
350000,3500000000,80577812,22340269,14675713,0 days 07:15:37.538930,35.51
351000,3510000000,80737015,22402155,14687925,0 days 07:17:03.497602,35.54
352000,3520000000,80882034,22477980,14701281,0 days 07:18:27.256042,35.57
353000,3530000000,81036757,22524614,14713996,0 days 07:19:51.187101,35.6
354000,3540000000,81213102,22577905,14727073,0 days 07:21:19.130416,35.64
355000,3550000000,81375614,22619901,14739626,0 days 07:22:42.951108,35.67
356000,3560000000,81568387,22683397,14751656,0 days 07:24:03.987684,35.71
357000,3570000000,81731286,22754564,14762865,0 days 07:25:22.837261,35.75
358000,3580000000,81901219,22809585,14774806,0 days 07:26:54.613453,35.78
359000,3590000000,82049875,22847494,14786683,0 days 07:28:19.678977,35.81
360000,3600000000,82231311,22890661,14800324,0 days 07:29:48.707353,35.85
