chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
241000,2410000000,65011413,13182304,0 days 02:59:04.508403,9.82
242000,2420000000,65237145,13197877,0 days 02:59:41.940342,9.84
243000,2430000000,65448763,13211803,0 days 03:00:20.171614,9.86
244000,2440000000,65668992,13226277,0 days 03:00:59.233849,9.89
245000,2450000000,65886973,13240445,0 days 03:01:37.141534,9.91
246000,2460000000,66092482,13255295,0 days 03:02:15.140958,9.93
247000,2470000000,66284699,13269378,0 days 03:02:51.865838,9.95
248000,2480000000,66491836,13283776,0 days 03:03:28.864167,9.97
249000,2490000000,66689932,13298257,0 days 03:04:06.385334,9.99
250000,2500000000,66887322,13313495,0 days 03:04:44.268317,10.01
251000,2510000000,67074775,13328056,0 days 03:05:23.122981,10.02
252000,2520000000,67280491,13342515,0 days 03:06:01.439040,10.05
253000,2530000000,67476292,13357025,0 days 03:06:39.921609,10.06
254000,2540000000,67776450,13371778,0 days 03:07:19.528372,10.09
255000,2550000000,68055226,13386463,0 days 03:07:59.170471,10.12
256000,2560000000,68277878,13400981,0 days 03:08:37.130104,10.14
257000,2570000000,68501911,13415094,0 days 03:09:15.047340,10.16
258000,2580000000,68735544,13429210,0 days 03:09:54.253354,10.19
259000,2590000000,68951037,13443258,0 days 03:10:33.436175,10.21
260000,2600000000,69194015,13456956,0 days 03:11:10.817249,10.23
261000,2610000000,69449316,13470815,0 days 03:11:48.580834,10.26
262000,2620000000,69697511,13484203,0 days 03:12:27.143832,10.28
263000,2630000000,69987871,13497606,0 days 03:13:06.324469,10.31
264000,2640000000,70357845,13511164,0 days 03:13:45.391221,10.35
265000,2650000000,70710663,13524266,0 days 03:14:24.247211,10.38
266000,2660000000,71031286,13538095,0 days 03:15:02.649419,10.41
267000,2670000000,71369217,13551236,0 days 03:15:40.659480,10.45
268000,2680000000,71681750,13564814,0 days 03:16:18.961354,10.48
269000,2690000000,71981880,13577960,0 days 03:16:57.604371,10.51
270000,2700000000,72278867,13591630,0 days 03:17:35.025560,10.54
271000,2710000000,72547501,13604657,0 days 03:18:13.232803,10.56
272000,2720000000,72823522,13617959,0 days 03:18:52.979813,10.59
