chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
344000,3440000000,120961975,12633250,0 days 03:38:41.849026,18.02
345000,3450000000,121140311,12645280,0 days 03:39:16.774419,18.03
346000,3460000000,121330627,12657133,0 days 03:39:50.349063,18.05
347000,3470000000,121484590,12669468,0 days 03:40:24.071448,18.07
348000,3480000000,121633801,12680929,0 days 03:40:58.986729,18.09
349000,3490000000,121795112,12692207,0 days 03:41:32.461651,18.1
350000,3500000000,121968026,12704229,0 days 03:42:06.996484,18.11
351000,3510000000,122137247,12716609,0 days 03:42:41.077268,18.13
352000,3520000000,122370701,12728764,0 days 03:43:18.346409,18.16
353000,3530000000,122552553,12741091,0 days 03:43:53.479210,18.18
354000,3540000000,122722636,12753497,0 days 03:44:28.306382,18.19
355000,3550000000,122883346,12765596,0 days 03:45:03.181790,18.24
356000,3560000000,123067583,12777818,0 days 03:45:37.426493,18.22
357000,3570000000,123253957,12790209,0 days 03:46:12.715893,18.24
358000,3580000000,123410811,12802351,0 days 03:46:46.813577,18.26
359000,3590000000,123573552,12814690,0 days 03:47:21.219908,18.28
360000,3600000000,123731611,12826421,0 days 03:47:55.249164,18.29
361000,3610000000,123888984,12838445,0 days 03:48:29.980489,18.31
362000,3620000000,124035909,12851187,0 days 03:49:07.227885,18.32
363000,3630000000,124182617,12863286,0 days 03:49:41.711516,18.33
364000,3640000000,124333942,12875220,0 days 03:50:16.027247,18.35
365000,3650000000,124492256,12887260,0 days 03:50:50.664987,18.36
366000,3660000000,124639225,12899231,0 days 03:51:25.356857,18.38
367000,3670000000,124810284,12911063,0 days 03:52:00.814431,18.39
368000,3680000000,124993822,12923421,0 days 03:52:36.843613,18.41
369000,3690000000,125170799,12935473,0 days 03:53:13.906738,18.43
370000,3700000000,125333003,12947748,0 days 03:53:49.928025,18.44
371000,3710000000,125509739,12960371,0 days 03:54:26.477974,18.46
372000,3720000000,125682055,12973230,0 days 03:55:02.589449,18.48
373000,3730000000,125859855,12986411,0 days 03:55:39.109526,18.5
374000,3740000000,126045037,12999818,0 days 03:56:15.863777,18.52
375000,3750000000,126243386,13013261,0 days 03:56:52.403226,18.54
376000,3760000000,126434360,13027105,0 days 03:57:31.417447,18.56
377000,3770000000,126631190,13040929,0 days 03:58:08.919154,18.57
378000,3780000000,126817035,13053767,0 days 03:58:45.054120,18.59
379000,3790000000,127013311,13066434,0 days 03:59:21.874707,18.61
380000,3800000000,127189910,13079274,0 days 03:59:58.346790,18.63
381000,3810000000,127395802,13092946,0 days 04:00:37.748068,18.65
382000,3820000000,127591685,13107243,0 days 04:01:18.331044,18.67
383000,3830000000,127787459,13122295,0 days 04:01:57.927165,18.69
384000,3840000000,128003227,13137392,0 days 04:02:37.232904,18.75
385000,3850000000,128255857,13152973,0 days 04:03:17.287379,18.73
386000,3860000000,128498971,13169930,0 days 04:03:57.461420,18.76
